epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9794,1.44795,3.9777,1.37837,0.00275,0.82353,0.28629,0.19361,1.21483,4.29316,1.2711,0.00012,0.00012,0.00012
2,143.988,1.33963,2.68135,1.19289,0.00314,0.94118,0.43328,0.30862,1.1593,3.79389,1.15973,0.000254852,0.000254852,0.000254852
3,210.033,1.21508,2.02804,1.1319,0.00294,0.88235,0.15272,0.09038,1.29226,4.06118,1.20185,0.00038416,0.00038416,0.00038416
4,274.363,1.48756,1.95513,1.17054,0.00314,0.94118,0.34553,0.22905,1.19684,3.87592,1.14529,0.000507924,0.000507924,0.000507924
5,338.881,1.37738,1.82247,1.15589,0.00294,0.88235,0.12867,0.06786,1.36631,4.51337,1.45859,0.000626144,0.000626144,0.000626144
6,403.99,1.24423,1.93103,1.11582,0.00235,0.70588,0.07421,0.03887,1.57999,4.43955,1.66678,0.00073882,0.00073882,0.00073882
7,468.211,1.32784,1.7765,1.15918,0.09766,0.11765,0.06658,0.0461,1.29375,4.38222,1.44824,0.000845952,0.000845952,0.000845952
8,530.462,1.34773,1.79338,1.16945,0.00275,0.82353,0.08585,0.04676,1.23632,4.13535,1.2908,0.00094754,0.00094754,0.00094754
9,593.051,1.42887,1.78241,1.24705,0.72604,0.11765,0.25262,0.12659,1.45491,3.98696,1.44745,0.00104358,0.00104358,0.00104358
10,655.831,1.31274,1.58993,1.18108,0.47216,0.21237,0.21158,0.08619,1.35934,4.06111,1.57431,0.00113408,0.00113408,0.00113408
11,724.147,1.29447,1.60865,1.15899,0.39222,0.17647,0.18462,0.08382,1.42996,3.97878,1.48772,0.00121904,0.00121904,0.00121904
12,786.046,1.2558,1.53512,1.15991,0.24686,0.17647,0.11925,0.06442,1.31083,4.91549,1.40025,0.00129845,0.00129845,0.00129845
13,848.746,1.27014,1.57398,1.17288,0.12833,0.29412,0.0842,0.04497,1.27658,4.45888,1.532,0.00137232,0.00137232,0.00137232
14,911.005,1.2123,1.47078,1.08486,0.34334,0.41176,0.30597,0.17542,1.18696,3.14818,1.38195,0.00144064,0.00144064,0.00144064
15,973.043,1.33779,1.53778,1.15368,0.27895,0.41176,0.22402,0.08642,1.50051,3.50717,1.8768,0.0014456,0.0014456,0.0014456
16,1035.63,1.33114,1.3917,1.13423,0.51955,0.23529,0.29436,0.12155,1.36726,4.23127,1.56014,0.001406,0.001406,0.001406
17,1098.07,1.27516,1.40205,1.1474,0.2338,0.64706,0.33266,0.17807,1.25945,3.17717,1.35906,0.0013664,0.0013664,0.0013664
18,1160.44,1.31726,1.31274,1.16476,0.62856,0.35294,0.40351,0.16427,1.29515,3.73913,1.42409,0.0013268,0.0013268,0.0013268
19,1222.5,1.26002,1.26979,1.18197,0.8212,0.35294,0.42784,0.21832,1.42336,2.82384,1.53254,0.0012872,0.0012872,0.0012872
20,1284.42,1.22716,1.30861,1.18055,0.48946,0.52941,0.52176,0.3384,1.56915,2.63045,1.7783,0.0012476,0.0012476,0.0012476
21,1346.27,1.14736,1.20809,1.10547,0.7215,0.70588,0.64928,0.43764,1.42547,2.36491,1.75208,0.001208,0.001208,0.001208
22,1408.41,1.18845,1.28877,1.10514,0.96074,0.64706,0.78277,0.54897,1.28398,1.95291,1.61117,0.0011684,0.0011684,0.0011684
