epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.56135,2.17165,4.03358,1.61909,0.00196,0.58824,0.01934,0.00559,1.51785,4.1748,1.64105,0.00012,0.00012,0.00012
2,5.61355,1.90524,3.94917,1.55165,0.00294,0.88235,0.24156,0.07372,1.71902,3.95361,1.53424,0.000254852,0.000254852,0.000254852
3,8.53252,1.94327,2.99028,1.51412,0.00314,0.94118,0.46457,0.28727,1.29093,3.70789,1.23685,0.00038416,0.00038416,0.00038416
4,10.4368,1.79921,2.70033,1.50898,0.00314,0.94118,0.44389,0.25135,1.24285,3.66948,1.27615,0.000507924,0.000507924,0.000507924
5,12.4334,1.78751,2.50927,1.40058,0.00294,0.88235,0.39381,0.17024,1.58996,3.92739,1.62076,0.000626144,0.000626144,0.000626144
6,14.2348,1.68803,2.4001,1.40623,0.00275,0.82353,0.13918,0.02608,1.72176,4.06369,2.00939,0.00073882,0.00073882,0.00073882
7,16.16,1.6951,2.49083,1.36984,0.00235,0.70588,0.05124,0.01624,1.72337,4.12896,2.08032,0.000845952,0.000845952,0.000845952
8,18.1387,1.67014,2.19333,1.39007,0.41288,0.20856,0.19168,0.08613,1.80557,4.2873,1.93349,0.00094754,0.00094754,0.00094754
9,20.8316,1.66774,2.39466,1.46519,0.49458,0.11573,0.18637,0.04829,1.94777,4.07646,2.08853,0.00104358,0.00104358,0.00104358
10,23.1515,1.64495,2.21058,1.46888,0.23414,0.05882,0.05455,0.01728,1.99649,4.26792,2.42272,0.00113408,0.00113408,0.00113408
11,25.1334,1.64712,2.21873,1.4825,0.27253,0.11765,0.08016,0.01905,2.02866,3.96998,2.52201,0.00121904,0.00121904,0.00121904
12,27.0539,1.60105,1.97297,1.35263,0.32563,0.35294,0.29527,0.1493,1.75909,3.03842,1.71635,0.00129845,0.00129845,0.00129845
13,28.9176,1.61741,2.00542,1.37677,0.20769,0.23529,0.13793,0.0761,1.68676,3.10981,1.73161,0.00137232,0.00137232,0.00137232
14,30.7751,1.63199,2.11061,1.41626,0.75521,0.29412,0.37314,0.1614,1.72521,3.07374,2.00072,0.00144064,0.00144064,0.00144064
15,32.6287,1.55963,2.00035,1.37221,0.61637,0.41176,0.43916,0.19889,1.66977,2.40541,1.87279,0.0014456,0.0014456,0.0014456
16,35.417,1.59936,1.93952,1.36783,0.56705,0.61713,0.6269,0.32398,1.74144,2.0523,1.69062,0.001406,0.001406,0.001406
17,37.829,1.6887,1.82663,1.40219,0.61449,0.56351,0.59928,0.28327,1.87877,2.1522,1.80823,0.0013664,0.0013664,0.0013664
18,39.7325,1.60118,1.90296,1.34906,0.73293,0.52941,0.54437,0.25582,1.8567,2.16018,1.8919,0.0013268,0.0013268,0.0013268
19,41.5466,1.5146,1.74224,1.3153,0.77912,0.70588,0.71884,0.36756,1.82984,2.05726,1.75896,0.0012872,0.0012872,0.0012872
20,43.4704,1.59362,1.78127,1.31706,0.63761,0.47059,0.59542,0.28017,1.91927,2.16609,1.73922,0.0012476,0.0012476,0.0012476
21,45.2661,1.71504,1.92991,1.34812,0.7971,0.29412,0.40549,0.18451,1.99031,2.31957,1.96941,0.001208,0.001208,0.001208
22,47.1625,1.45239,1.6612,1.28703,0.72145,0.61036,0.66366,0.29278,1.88593,2.38143,1.78762,0.0011684,0.0011684,0.0011684
23,50.1327,1.42755,1.59032,1.23913,0.94604,0.47059,0.69243,0.37505,1.73621,2.41715,1.68164,0.0011288,0.0011288,0.0011288
24,52.735,1.52607,1.70941,1.30583,0.8989,0.70588,0.76827,0.47551,1.51556,1.64739,1.60615,0.0010892,0.0010892,0.0010892
25,54.5364,1.51949,1.61204,1.2638,0.81804,0.64706,0.71191,0.41777,1.6671,1.7384,1.66732,0.0010496,0.0010496,0.0010496
26,56.3961,1.52861,1.45921,1.27682,1,0.7621,0.82559,0.39997,1.60774,1.56742,1.55697,0.00101,0.00101,0.00101
27,58.2626,1.4572,1.37771,1.23698,0.99802,0.70588,0.78144,0.35958,1.7606,1.64777,1.70855,0.0009704,0.0009704,0.0009704
28,60.1307,1.41101,1.37877,1.23572,0.96625,0.64706,0.74577,0.35632,1.86849,1.67008,1.72672,0.0009308,0.0009308,0.0009308
29,62.2794,1.42305,1.42935,1.23121,0.92282,0.70348,0.72128,0.34269,1.87428,1.71907,1.72667,0.0008912,0.0008912,0.0008912
30,65.7437,1.35751,1.36839,1.20003,0.97183,0.64706,0.76116,0.39742,1.61989,1.48266,1.51408,0.0008516,0.0008516,0.0008516
31,67.7938,1.29332,1.37648,1.19073,1,0.70426,0.79525,0.444,1.57654,1.35355,1.50981,0.000812,0.000812,0.000812
32,69.6703,1.3382,1.32757,1.25645,1,0.69829,0.79468,0.44619,1.55943,1.30051,1.50655,0.0007724,0.0007724,0.0007724
33,71.4982,1.3586,1.23581,1.17435,0.9229,0.70588,0.78107,0.41711,1.60179,1.31733,1.55049,0.0007328,0.0007328,0.0007328
34,73.3607,1.34631,1.24369,1.19862,0.92809,0.75958,0.77126,0.43399,1.59049,1.35592,1.60705,0.0006932,0.0006932,0.0006932
35,75.2232,1.42162,1.31526,1.25002,0.85319,0.70588,0.78057,0.47777,1.53225,1.3704,1.55237,0.0006536,0.0006536,0.0006536
36,77.8989,1.31174,1.17018,1.17044,0.96506,0.64706,0.77055,0.46354,1.6003,1.33774,1.58955,0.000614,0.000614,0.000614
37,80.6184,1.40378,1.19059,1.20601,0.98068,0.64706,0.79165,0.48148,1.61871,1.34511,1.57227,0.0005744,0.0005744,0.0005744
38,82.4934,1.21317,1.12953,1.21315,1,0.64445,0.7758,0.41733,1.65876,1.35508,1.53109,0.0005348,0.0005348,0.0005348
39,84.3334,1.2447,1.16654,1.19065,0.92848,0.76471,0.80613,0.46384,1.57348,1.28965,1.45491,0.0004952,0.0004952,0.0004952
40,86.2053,1.27054,1.18336,1.19355,0.9095,0.70588,0.8019,0.468,1.52003,1.35965,1.41019,0.0004556,0.0004556,0.0004556
41,89.6072,1.1772,1.32617,1.19103,0.77521,0.81196,0.78268,0.42942,1.53099,1.35972,1.43067,0.000416,0.000416,0.000416
42,92.6766,1.17261,1.31311,1.12551,0.8475,0.76471,0.78234,0.39879,1.64363,1.42894,1.53251,0.0003764,0.0003764,0.0003764
43,95.5886,1.11804,1.33038,1.14866,1,0.72865,0.81271,0.40917,1.6757,1.47548,1.57114,0.0003368,0.0003368,0.0003368
44,97.4654,1.22194,1.27902,1.14365,0.98634,0.76471,0.81619,0.42657,1.6703,1.33453,1.57538,0.0002972,0.0002972,0.0002972
