epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69248,1.68636,3.90587,1.43701,0.00235,0.70588,0.14154,0.08547,1.11438,3.97128,1.37023,0.00012,0.00012,0.00012
2,6.25626,1.51802,3.35712,1.29194,0.00314,0.94118,0.24606,0.10733,1.04254,3.60471,1.23881,0.000254852,0.000254852,0.000254852
3,8.6943,1.50378,2.30261,1.26021,0.00314,0.94118,0.27992,0.14659,1.16367,3.5536,1.13681,0.00038416,0.00038416,0.00038416
4,10.6662,1.42986,2.12022,1.21613,0.00314,0.94118,0.39022,0.22986,1.15216,3.5543,1.16853,0.000507924,0.000507924,0.000507924
5,12.8742,1.44895,2.09538,1.18959,0.00314,0.94118,0.4319,0.24367,1.23672,3.66941,1.2557,0.000626144,0.000626144,0.000626144
6,14.8738,1.37725,1.80708,1.19135,0.00294,0.88235,0.34686,0.2218,1.18645,3.5454,1.19988,0.00073882,0.00073882,0.00073882
7,17.1742,1.44973,1.91968,1.16827,1,0.11311,0.33862,0.17084,1.26249,3.58594,1.29273,0.000845952,0.000845952,0.000845952
8,20.0288,1.35456,1.74396,1.16701,0.80591,0.24572,0.33673,0.12698,1.38857,3.65957,1.45661,0.00094754,0.00094754,0.00094754
9,22.6717,1.3922,1.86753,1.23646,0.39429,0.23529,0.21139,0.06114,1.49079,3.77963,1.71267,0.00104358,0.00104358,0.00104358
10,24.6965,1.36724,1.68881,1.17769,0.65212,0.05882,0.08644,0.03811,1.74298,3.85984,2.14529,0.00113408,0.00113408,0.00113408
11,26.6794,1.35038,1.76144,1.23004,0.43905,0.23072,0.22192,0.10098,1.46539,3.44621,1.78466,0.00121904,0.00121904,0.00121904
12,28.7028,1.36296,1.57319,1.19123,0.37717,0.41176,0.32371,0.13002,1.60237,3.37133,1.61195,0.00129845,0.00129845,0.00129845
13,30.5269,1.36255,1.58459,1.17134,0.36714,0.29412,0.27678,0.10941,1.45836,3.27109,1.5788,0.00137232,0.00137232,0.00137232
