epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60827,1.75769,4.09775,1.59815,0.00176,0.52941,0.08617,0.0455,1.49224,4.30145,1.73081,0.00012,0.00012,0.00012
2,5.36965,1.71985,3.69972,1.42423,0.00294,0.88235,0.13646,0.07997,1.87128,4.04369,1.47668,0.000254852,0.000254852,0.000254852
3,8.54697,1.57691,2.62285,1.32751,0.00294,0.88235,0.27324,0.14521,1.38696,3.62494,1.36777,0.00038416,0.00038416,0.00038416
4,10.9453,1.50445,2.25397,1.27214,0.00314,0.94118,0.42595,0.24183,1.1907,3.51006,1.17824,0.000507924,0.000507924,0.000507924
5,13.0972,1.51277,2.18484,1.26173,0.00314,0.94118,0.31497,0.16824,1.30301,3.6363,1.24479,0.000626144,0.000626144,0.000626144
6,15.0462,1.48174,1.91911,1.2649,0.6108,0.09793,0.18056,0.11585,1.31496,3.70741,1.36418,0.00073882,0.00073882,0.00073882
7,17.0516,1.47367,2.08099,1.13859,0.00294,0.88235,0.10991,0.06082,1.39655,3.83635,1.59821,0.000845952,0.000845952,0.000845952
8,19.2084,1.35935,1.79054,1.18221,0.6524,0.11765,0.13185,0.09456,1.47719,3.78796,2.08904,0.00094754,0.00094754,0.00094754
9,22.0655,1.49595,1.95504,1.37132,0.14798,0.17647,0.10486,0.03789,1.52694,3.81584,1.639,0.00104358,0.00104358,0.00104358
10,24.6442,1.39451,1.79618,1.24625,0.61902,0.29412,0.3937,0.22902,1.32174,3.51059,1.55635,0.00113408,0.00113408,0.00113408
11,26.699,1.46473,1.84922,1.31501,0.4345,0.2725,0.31411,0.15252,1.40835,3.22054,1.52432,0.00121904,0.00121904,0.00121904
12,28.8761,1.39894,1.63015,1.23254,0.56807,0.47059,0.48269,0.28982,1.45097,2.99254,1.60576,0.00129845,0.00129845,0.00129845
13,30.8278,1.37802,1.59475,1.25345,0.81914,0.29412,0.49437,0.2831,1.43784,3.08153,1.55647,0.00137232,0.00137232,0.00137232
14,32.8566,1.37546,1.69947,1.24796,0.61127,0.35294,0.49698,0.308,1.53366,2.63449,1.51595,0.00144064,0.00144064,0.00144064
15,35.5298,1.34976,1.67444,1.23144,0.8282,0.56831,0.63659,0.36024,1.47177,2.18952,1.50915,0.0014456,0.0014456,0.0014456
16,38.381,1.3998,1.59683,1.2139,0.77534,0.61004,0.75631,0.48348,1.40776,1.96664,1.46695,0.001406,0.001406,0.001406
17,40.5228,1.48598,1.56783,1.26615,0.79038,0.58824,0.72723,0.42772,1.44462,1.89911,1.50513,0.0013664,0.0013664,0.0013664
18,42.5412,1.29686,1.49884,1.17347,1,0.51317,0.67335,0.43358,1.37447,2.06003,1.41832,0.0013268,0.0013268,0.0013268
19,44.5045,1.22401,1.43566,1.14763,0.89865,0.58824,0.74801,0.43383,1.3601,1.52257,1.4725,0.0012872,0.0012872,0.0012872
20,46.5594,1.38096,1.39868,1.19612,0.89646,0.51068,0.64574,0.35321,1.48095,1.95231,1.59273,0.0012476,0.0012476,0.0012476
21,48.3944,1.32029,1.43979,1.1579,0.90861,0.58515,0.62663,0.35795,1.46541,1.9377,1.54123,0.001208,0.001208,0.001208
22,51.5868,1.18489,1.35241,1.14843,0.59853,0.70588,0.6409,0.36624,1.36267,1.52456,1.51269,0.0011684,0.0011684,0.0011684
23,54.2329,1.21637,1.22282,1.10418,0.74883,0.58824,0.69161,0.44855,1.429,1.57601,1.46419,0.0011288,0.0011288,0.0011288
24,56.2797,1.20979,1.2752,1.11532,0.61059,0.64706,0.65316,0.39176,1.3549,1.76117,1.40497,0.0010892,0.0010892,0.0010892
25,58.2368,1.22628,1.29122,1.11248,0.65834,0.52941,0.61659,0.39868,1.28201,1.83585,1.39069,0.0010496,0.0010496,0.0010496
26,60.3578,1.2801,1.20627,1.1493,0.55905,0.58824,0.59235,0.34509,1.48595,1.69418,1.45523,0.00101,0.00101,0.00101
27,62.3872,1.18055,1.12317,1.11154,0.81734,0.5267,0.61564,0.37177,1.53339,1.66139,1.53772,0.0009704,0.0009704,0.0009704
28,64.7677,1.21326,1.14193,1.09626,0.69857,0.70588,0.62491,0.37218,1.40839,1.58712,1.49067,0.0009308,0.0009308,0.0009308
29,67.6919,1.21357,1.1535,1.10295,0.74773,0.69787,0.65681,0.4002,1.4756,1.72823,1.48756,0.0008912,0.0008912,0.0008912
30,69.9828,1.29528,1.11884,1.12657,0.56292,0.64706,0.54975,0.25714,1.81069,1.95718,1.58104,0.0008516,0.0008516,0.0008516
