set,crop_path,plate,conf,raw
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars367_0.png,BB330LL__,,"[""BB330LL__""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars367_1.png,H3222P___,,"[""H3222P___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars380_0.png,61711152_,,"[""61711152_""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars382_0.png,CR800G___,,"[""CR800G___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars382_1.png,21LL22___,,"[""21LL22___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars387_0.png,388A38___,,"[""388A38___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars394_0.png,W22RRS___,,"[""W22RRS___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars410_0.png,CHM1000__,,"[""CHM1000__""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars422_0.png,222555___,,"[""222555___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars425_0.png,E54JJ____,,"[""E54JJ____""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars425_1.png,4900DD___,,"[""4900DD___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars432_0.png,8738888__,,"[""8738888__""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars53_0.png,CV101____,,"[""CV101____""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars61_0.png,B33366___,,"[""B33366___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars65_0.png,THH8H____,,"[""THH8H____""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars68_0.png,11111____,,"[""11111____""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars71_0.png,344444___,,"[""344444___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars72_0.png,6PP5999__,,"[""6PP5999__""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars72_1.png,DF11_____,,"[""DF11_____""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars77_0.png,B26119___,,"[""B26119___""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars96_0.png,PGNNL12__,,"[""PGNNL12__""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars98_0.png,VW10RPY__,,"[""VW10RPY__""]"
crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_fuzzy_a0.2_b0.4_c0.7_d0.9/Cars98_1.png,3ASR334__,,"[""3ASR334__""]"
