set,crop_path,plate,conf,raw
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars367_0.png,BPC0563__,,"[""BPC0563__""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars367_1.png,H30H89___,,"[""H30H89___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars374_0.png,S730M8___,,"[""S730M8___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars382_0.png,899A16___,,"[""899A16___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars387_0.png,P90A399__,,"[""P90A399__""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars394_0.png,B82911___,,"[""B82911___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars394_1.png,A13973___,,"[""A13973___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars410_0.png,BBB8018__,,"[""BBB8018__""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars425_0.png,G5268188_,,"[""G5268188_""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars432_0.png,DL48AK44_,,"[""DL48AK44_""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars53_0.png,C11C00S__,,"[""C11C00S__""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars61_0.png,MMN300___,,"[""MMN300___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars61_1.png,BA9777___,,"[""BA9777___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars65_0.png,BREHHH___,,"[""BREHHH___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars68_0.png,C455VR___,,"[""C455VR___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars71_0.png,NH3342___,,"[""NH3342___""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars72_0.png,DLNC9561_,,"[""DLNC9561_""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars77_0.png,R26C033__,,"[""R26C033__""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars96_0.png,PBWWNL2__,,"[""PBWWNL2__""]"
crops_yolo_high_30,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_high_30/Cars98_0.png,MMRRR888_,,"[""MMRRR888_""]"
