set,crop_path,plate,conf,raw
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars367_0.png,33444____,,"[""33444____""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars374_0.png,BW1106___,,"[""BW1106___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars380_0.png,B33666___,,"[""B33666___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars380_1.png,B33066___,,"[""B33066___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars380_2.png,3336_6___,,"[""3336_6___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars380_3.png,333600___,,"[""333600___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars380_4.png,H33066___,,"[""H33066___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars382_0.png,139999___,,"[""139999___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars387_0.png,H3400____,,"[""H3400____""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars387_1.png,101000___,,"[""101000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars394_0.png,H30066___,,"[""H30066___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars410_0.png,WWW655___,,"[""WWW655___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars422_0.png,B00000___,,"[""B00000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars425_0.png,144490___,,"[""144490___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars432_0.png,333666___,,"[""333666___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars53_0.png,C96999___,,"[""C96999___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars61_0.png,NT8831___,,"[""NT8831___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars61_1.png,H33006___,,"[""H33006___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars65_0.png,B00000___,,"[""B00000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars68_0.png,H33303___,,"[""H33303___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars71_0.png,B00000___,,"[""B00000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars71_1.png,B3300____,,"[""B3300____""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars72_0.png,T70000___,,"[""T70000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars77_0.png,333373___,,"[""333373___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars77_1.png,W33000___,,"[""W33000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars93_0.png,B33006___,,"[""B33006___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars93_1.png,B33666___,,"[""B33666___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars93_2.png,33366____,,"[""33366____""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars93_3.png,33060____,,"[""33060____""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars96_0.png,B333000__,,"[""B333000__""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars96_1.png,H33000___,,"[""H33000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars98_0.png,3W6666___,,"[""3W6666___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars98_1.png,S30000___,,"[""S30000___""]"
crops_yolo_low_20,/content/drive/MyDrive/IARTS/dataset/crops/crops_yolo_low_20/Cars98_2.png,333373___,,"[""333373___""]"
