set,crop_path,plate,conf,raw
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars367_0.png,G00GLE___,,"[""G00GLE___""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars374_0.png,S7JDW____,,"[""S7JDW____""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars380_0.png,W718AX___,,"[""W718AX___""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars382_0.png,CRA1G____,,"[""CRA1G____""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars387_0.png,NR2AA2527,,"[""NR2AA2527""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars410_0.png,EWWP00P__,,"[""EWWP00P__""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars425_0.png,G526JHD__,,"[""G526JHD__""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars432_0.png,D449AK49_,,"[""D449AK49_""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars53_0.png,CH10OSE__,,"[""CH10OSE__""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars61_0.png,MMN306___,,"[""MMN306___""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars65_0.png,ORINNIE__,,"[""ORINNIE__""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars68_0.png,BJR216___,,"[""BJR216___""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars71_0.png,LN13GJZ__,,"[""LN13GJZ__""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars71_1.png,WI65DVL__,,"[""WI65DVL__""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars72_0.png,FL7CN5617,,"[""FL7CN5617""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars77_0.png,R26CU6799,,"[""R26CU6799""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars93_0.png,CC1127___,,"[""CC1127___""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars96_0.png,PGMN112__,,"[""PGMN112__""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars98_0.png,YW0RRY___,,"[""YW0RRY___""]"
crops_images_yolo_original,/content/drive/MyDrive/IARTS/dataset/crops/crops_images_yolo_original/Cars98_1.png,PG4000___,,"[""PG4000___""]"
